,lemma,count,pos
362,soul,41,n
363,pleasure,41,n
364,hour,41,n
365,pleased,41,a
366,stretch,40,n
367,move,40,n
368,sure,40,n
369,paper,39,n
370,christian,39,n
371,glad,39,n
372,change,39,n
373,understand,39,n
374,maid,39,n
375,bound,39,n
376,youth,39,n
377,slept,39,n
378,troll,39,n
379,continued,39,a
380,bride,38,n
381,thou,38,n
382,happiness,38,n
383,moor,38,n
384,oblige,38,n
385,sweet,38,n
386,north,38,n
387,true,38,a
388,cock,38,n
389,beam,38,n
390,yard,38,n
391,broken,38,n
392,husband,38,n
393,angry,38,a
394,spirit,38,n
395,matter,38,n
396,mean,37,n
397,corner,37,n
398,seat,37,n
399,flame,37,n
400,manner,37,n
401,wander,37,n
402,outside,37,n
403,rock,37,n
404,dear,37,n
405,color,37,n
406,mighty,37,n
407,robber,36,n
408,sister,36,n
409,anthony,36,n
410,strength,36,n
411,fancy,36,n
412,lake,36,n
413,martin,36,n
414,freyja,36,n
415,swan,36,n
416,witch,36,n
417,lord,36,n
418,spot,36,n
419,reindeer,36,n
420,built,36,n
421,notice,36,n
422,drew,36,n
423,neither,35,n
424,blood,35,n
425,sight,35,n
426,second,35,a
427,little_gerda,35,n
428,pair,35,n
429,forgotten,35,n
430,float,35,n
431,week,35,n
432,break,35,n
433,viking,35,v
434,book,35,n
435,played,35,n
436,glitter,35,n
437,pull,34,n
438,cross,34,n
439,third,34,a
440,start,34,n
441,empty,34,a
442,understood,34,n
443,animal,34,n
444,wait,34,n
445,raise,34,n
446,stream,34,n
447,exclaim,34,n
448,wonder,34,n
449,gaze,34,n
450,several,34,a
451,frog,34,n
452,treasure,34,n
453,wine,33,n
454,fruit,33,n
455,sank,33,n
456,æsir,33,n
457,splendid,33,n
458,suppose,33,n
459,blossom,33,n
460,fish,33,n
461,heath,33,n
462,river,33,n
463,sunshine,32,n
464,declare,32,n
465,chance,32,n
466,rather,32,r
467,duckling,32,v
468,paint,32,n
469,human,32,n
470,merry,32,n
471,journey,32,n
472,dare,32,n
473,guest,32,n
474,weather,32,n
475,sprang,32,n
476,suffer,32,n
477,distance,32,n
478,blow,32,n
479,fair,32,n
480,wore,32,n
481,draw,32,n
482,company,32,n
483,folk,31,n
484,thistle,31,n
485,crept,31,n
486,frighten,31,n
487,fasten,31,n
488,chain,31,n
489,ring,31,n
490,thee,31,n
491,figure,31,n
492,gardener,31,n
493,hammer,31,n
494,allow,31,v
495,fear,31,n
496,rejoice,30,n
497,body,30,n
498,gentle,30,n
499,silver,30,n
500,four,30,n
501,wedding,30,n
502,feast,30,n
503,save,30,v
504,glide,30,n
505,finger,30,n
506,money,30,n
507,expect,30,v
508,alone,30,r
509,wicked,30,v
510,struck,30,n
511,floor,30,n
512,bury,29,n
513,finn,29,n
514,sword,29,n
515,short,29,a
516,quickly,29,r
517,court,29,n
518,merchant,29,n
519,beyond,29,n
520,metal,29,n
521,wolf,29,n
522,married,29,a
523,skin,29,n
524,mistress,29,n
525,joanna,29,n
526,sigh,29,n
527,burn,29,n
528,kill,29,n
529,front,29,n
530,least,28,a
531,stork-mamma,28,n
532,none,28,n
533,knife,28,n
534,stork-papa,28,n
535,question,28,n
536,number,28,n
537,sort,28,n
538,ought,28,n
539,shell,28,n
540,blooming,28,n
541,else,28,r
542,whisper,28,n
543,service,28,n
544,stuff,28,n
545,born,28,n
546,free,28,a
547,past,28,n
548,hang,28,n
549,delicate,28,n
550,yellow,28,n
551,sparkle,28,n
552,drove,27,n
553,wise,27,n
554,root,27,n
555,neighbor,27,n
556,minute,27,n
557,evil,27,n
558,hare,27,n
559,manage,27,n
560,afterwards,27,n
561,cheek,27,n
562,food,27,n
563,arrive,27,a
564,drop,27,n
565,terrible,27,a
566,throw,27,n
567,silent,27,n
568,broke,27,n
569,holy,27,n
570,grown,27,n
571,shin,27,n
572,pocket,26,n
573,farmer,26,n
574,clever,26,n
575,sell,26,n
576,serve,26,n
577,road,26,n
578,either,26,n
579,long_time,26,n
580,board,26,n
581,stranger,26,n
582,tremble,26,a
583,wooden,26,n
584,bore,26,n
585,approach,26,n
586,handsome,26,n
587,jumped,26,n
588,shape,26,n
589,cast,26,n
590,trouble,26,n
591,repeat,26,n
592,wide,26,a
593,fortune,26,n
594,although,26,n
595,pain,26,n
596,history,26,n
597,thick,26,n
598,forward,26,r
599,hundred,25,v
600,beside,25,n
601,spoken,25,n
602,appearance,25,n
603,autumn,25,n
604,tire,25,n
605,glance,25,n
606,horn,25,n
607,toad,25,n
608,fisherman,25,n
609,need,25,n
610,snail,25,n
611,single,25,a
612,imagine,25,n
613,midst,25,n
614,respect,25,n
615,carriage,25,n
616,bent,25,n
617,except,25,n
618,fond,25,n
619,lantern,25,n
620,rain,25,n
621,stick,25,n
622,wear,25,n
623,corn,25,n
624,jutland,25,n
625,press,25,n
626,bishop,25,n
627,grass,25,n
628,magic,24,n
629,awoke,24,n
630,mount,24,n
631,noble,24,a
632,hole,24,n
633,marry,24,n
634,busy,24,a
635,colour,24,n
636,molly,24,r
637,whatever,24,n
638,hope,24,n
639,glorious,24,a
640,glory,24,n
641,iron,24,n
642,nearly,24,r
643,doubt,24,n
644,immediately,24,r
645,read,24,n
646,meet,24,n
647,cloak,24,n
648,broad,24,a
649,venture,24,n
650,touch,24,n
651,tower,24,n
652,plough,23,n
653,lamp,23,n
654,belong,23,n
655,pale,23,n
656,escape,23,n
657,music,23,n
658,discover,23,n
659,swim,23,n
660,promise,23,n
661,marble,23,n
662,match,23,n
663,plan,23,n
664,burning,23,n
665,christmas,23,n
666,sign,23,n
667,gift,23,n
668,surround,23,n
669,sorrow,23,n
670,ride,23,n
671,caught,23,n
672,grandmother,22,n
673,peace,22,n
674,memory,22,n
675,observe,22,n
676,drawn,22,n
677,creep,22,n
678,send,22,n
679,mile,22,n
680,beak,22,n
681,lean,22,n
682,wash,22,n
683,letter,22,n
684,sheep,22,n
685,presently,22,r
686,especially,22,r
687,pleasant,22,n
688,lofty,22,n
689,gan-finn,22,n
690,goat,22,n
691,fragrance,22,n
692,asleep,22,n
693,smoke,22,n
694,farewell,22,n
695,proud,22,n
696,basket,22,n
697,cause,22,n
698,kitchen,22,n
699,pigeon,22,n
700,living,22,n
701,sand-hills,22,n
702,twelve,22,n
703,mouse,22,n
704,soft,22,a
705,honour,22,n
706,marsh,21,n
707,vanished,21,n
708,tongue,21,n
709,shout,21,n
710,farther,21,n
711,slip,21,n
712,shoulder,21,n
713,nature,21,n
714,middle,21,n
715,sick,21,n
716,different,21,a
717,late,21,r
718,bloom,21,n
719,contain,21,n
720,warrior,21,n
721,kala,21,n
722,brown,21,n
723,drank,21,n
724,burst,21,n
725,wound,21,n
726,thread,21,n
727,meadow,21,n
728,aslog,21,n
729,student,21,n
730,disappear,21,n
731,linen,21,n
732,goblin,21,n
733,coast,21,n
734,coach,21,n
735,afraid,21,n
736,burdock,21,n
737,widow,21,n
738,sailor,20,n
739,inside,20,n
740,to-morrow,20,n
741,desert,20,n
742,language,20,n
743,besides,20,n
744,midnight,20,n
745,curtain,20,n
746,chamber,20,n
747,crown,20,n
748,torn,20,n
749,shut,20,n
750,rode,20,n
751,whether,20,n
752,plain,20,n
753,angel,20,n
754,mole,20,n
755,ocean,20,n
756,wherever,20,n
757,thank,20,n
758,intend,20,n
759,apple,20,n
760,frozen,20,n
761,heimdall,20,n
762,moorland,20,n
763,cottage,20,n
764,join,20,n
765,exactly,20,r
766,howl,20,n
767,darkness,20,n
768,tweet,20,n
769,ashore,20,n
770,scream,20,n
771,wreath,20,n
772,fairy,20,n
773,passage,19,n
774,parent,19,n
775,dwell,19,n
776,elizabeth,19,n
777,thrown,19,n
778,garden_paradise,19,n
779,bough,19,n
780,bottom,19,n
781,idea,19,n
782,fact,19,n
783,underground_people,19,a
784,case,19,n
785,guard,19,n
786,pearl,19,n
787,less,19,r
788,ruin,19,n
789,purpose,19,n
790,miss,19,n
791,flutter,19,n
792,finish,19,n
793,painter,19,n
794,casket,19,n
795,martha,19,n
796,crack,19,n
797,drink,19,n
798,steal,19,n
799,east_wind,19,n
800,gudbrand,19,n
801,prayer,19,n
802,blew,19,n
803,task,19,n
804,toward,19,n
805,tale,19,n
806,green_leaf,19,n
807,thousand,19,n
808,possible,19,a
809,pious,19,a
810,shadow,19,n
811,vessel,19,n
812,stable,19,a
813,nightingale,19,n
814,unless,18,n
815,succeed,18,v
816,nightcap,18,n
817,forget,18,n
818,straw,18,n
819,force,18,n
820,fetch,18,n
821,snowflake,18,n
822,agree,18,n
823,to-day,18,n
824,dirty,18,n
825,surely,18,r
826,push,18,n
827,melancholy,18,n
828,next_morning,18,v
829,smooth,18,n
830,drive,18,n
831,require,18,n
832,whenever,18,n
833,comfortable,18,a
834,delightful,18,n
835,mirror,18,n
836,flight,18,n
837,increase,18,n
838,honest,18,n
839,welcome,18,n
840,hurrah,18,n
841,grand,18,a
842,tail,18,n
843,fell_upon,18,n
844,hurry,18,n
845,quietly,18,r
846,bank,18,n
847,danger,18,n
848,depart,18,n
849,faithful,18,n
850,flew_away,18,n
851,hasten,18,n
852,loom,18,n
853,pray,18,n
854,coat,18,n
855,rule,17,n
856,shook,17,n
857,shot,17,n
858,tall,17,n
859,visitor,17,n
860,fierce,17,n
861,exchange,17,n
862,accord,17,n
863,truth,17,n
864,throne,17,n
865,circle,17,n
866,moreover,17,n
867,dwelt,17,n
868,limb,17,n
869,fault,17,n
870,clean,17,n
871,thorgunna,17,n
872,search,17,n
873,twice,17,r
874,shelter,17,n
875,take_care,17,n
876,meant,17,n
877,altar,17,n
878,tame,17,n
879,greet,17,n
880,easy,17,a
881,crowd,17,n
882,viking_wife,17,n
883,instead,17,r
884,instant,17,n
885,fowl,17,n
886,brave,17,n
887,hideous,17,a
888,mayor,17,n
889,pour,17,n
890,nobody,17,n
891,straight,17,n
892,rage,17,n
893,goddess,17,n
894,accordingly,17,r
895,tore,17,n
896,doll,17,n
897,mournful,17,n
898,beautifully,17,r
899,longing,17,n
900,sake,17,n
901,weep,17,n
902,consider,17,v
903,alfred,17,v
904,gate,17,n
905,beard,16,n
906,breath,16,n
907,beast,16,n
908,skjagen,16,n
909,path,16,n
910,peter,16,n
911,business,16,n
912,clearly,16,r
913,reward,16,n
914,consequence,16,n
915,taste,16,n
916,bosom,16,n
917,splendour,16,n
918,fragrant,16,n
919,sunbeam,16,n
920,determine,16,n
921,forehead,16,n
922,huckster,16,n
923,apartment,16,n
924,mercy,16,n
925,grey,16,n
926,breast,16,n
927,bridge,16,n
928,tiny,16,a
929,behold,16,n
930,usual,16,a
931,object,16,n
932,perceive,16,n
933,sledge,16,n
934,whistle,16,n
935,quick,16,n
936,sport,16,n
937,great_deal,16,n
938,brock,16,n
939,hidden,16,n
940,could_find,16,n
941,quantity,16,n
942,hedge,16,n
943,beheld,16,n
944,leap,16,n
945,content,16,n
946,scarcely,16,r
947,sunday,16,n
948,remarkable,16,a
949,silk,16,n
950,directly,16,r
951,note,16,n
952,recognize,16,v
953,separate,15,a
954,fragment,15,n
955,knee,15,n
956,easily,15,r
957,state,15,n
958,opposite,15,n
959,foam,15,n
960,measure,15,n
961,fold,15,n
962,stem,15,n
963,represent,15,n
964,childhood,15,n
965,please,15,n
