,lemma,count,pos
358,melon,51,n
359,tank,51,n
360,plant,51,n
361,prepared,51,a
362,nevertheless,51,r
363,royal,50,n
364,neither,50,n
365,stream,50,n
366,certain,50,a
367,listen,50,n
368,hari-sarman,50,n
369,ruby,50,n
370,priest,50,n
371,longer,50,n
372,meanwhile,50,r
373,whereupon,50,n
374,beauty,50,n
375,visit,50,n
376,bear,49,n
377,harm,49,n
378,wall,49,n
379,whatever,49,n
380,wander,49,n
381,tire,49,n
382,travel,49,n
383,usual,49,a
384,cause,49,n
385,nearly,49,r
386,jôgi,49,n
387,majesty,48,n
388,play,48,n
389,outside,48,n
390,feast,48,n
391,milk,48,n
392,already,48,r
393,drop,48,n
394,chief,48,n
395,sword,48,n
396,sooner,48,n
397,learn,48,n
398,goddess,48,n
399,wise,48,n
400,enemy,48,n
401,tail,47,n
402,distance,47,n
403,to-day,47,n
404,terrible,47,a
405,wept,47,n
406,least,47,a
407,dark,47,n
408,astonish,47,a
409,rupa-sikha,47,n
410,flower,47,n
411,star,46,n
412,nice,46,a
413,beat,46,n
414,forth,46,n
415,chandralêkhâ,46,n
416,fetch,46,n
417,return_home,46,n
418,consent,46,n
419,quickly,46,r
420,stay,46,n
421,faithful,46,n
422,explain,45,n
423,hole,45,n
424,road,45,n
425,jumped,45,n
426,minute,45,n
427,take_care,45,n
428,hung,45,n
429,necklace,45,n
430,quoth,45,n
431,suppose,45,n
432,crocodile,45,n
433,fact,45,n
434,arrow,45,n
435,rage,45,n
436,declare,44,n
437,caught,44,n
438,since,44,n
439,month,44,n
440,reason,44,n
441,throw,44,n
442,majnun,44,n
443,hour,44,n
444,five,44,n
445,surely,44,r
446,smile,44,n
447,bone,44,n
448,hurry,44,n
449,beside,44,n
450,sweetmeat,44,n
451,maiden,44,n
452,fast,44,n
453,fight,44,n
454,giant,44,n
455,strange,44,n
456,earth,43,n
457,sound,43,n
458,neighbour,43,n
459,calamity,43,n
460,grain,43,n
461,discover,43,n
462,accordingly,43,r
463,dance,43,n
464,lady,43,n
465,hope,43,n
466,gaṅgâdhara,43,n
467,turtle,43,n
468,mango,43,n
469,thousand,42,n
470,bowl,42,n
471,weep,42,n
472,amongst,42,n
473,advice,42,n
474,attendant,42,n
475,laid,42,n
476,living,42,n
477,form,42,n
478,wild,42,n
479,gardener,42,n
480,presence,42,n
481,cover,42,n
482,grass,42,n
483,magic,41,n
484,nose,41,r
485,share,41,n
486,hard,41,a
487,handsome,41,n
488,rope,40,n
489,pity,40,n
490,sarkap,40,n
491,hundred,40,v
492,adventure,40,n
493,beggar,40,n
494,born,40,n
495,pretty,40,r
496,wazir,40,n
497,trust,40,n
498,lock,40,n
499,vessel,40,n
500,touch,40,n
501,subha_datta,40,n
502,green,40,a
503,next_morning,40,v
504,bundle,40,n
505,whether,40,n
506,journey,40,n
507,game,39,n
508,wretched,39,v
509,evil,39,n
510,high,39,a
511,rush,39,n
512,cloth,38,n
513,break,38,n
514,subuddhi,38,n
515,window,38,n
516,continued,38,a
517,held,38,n
518,baby,38,n
519,companion,38,n
520,write,38,n
521,fellow,38,n
522,finger,38,n
523,gangazara,38,n
524,step,38,n
525,reign,38,n
526,prison,38,n
527,pain,38,n
528,finish,38,n
529,rode,38,n
530,seat,38,n
531,inquire,38,n
532,basket,38,n
533,cook,37,n
534,clean,37,n
535,dream,37,n
536,gate,37,n
537,asleep,37,n
538,shepherd,37,n
539,news,37,n
540,drag,37,n
541,marriage,37,n
542,inform,37,n
543,dehra,37,n
544,drink,37,n
545,rather,37,r
546,except,37,n
547,jinni,37,n
548,guess,37,n
549,bound,37,n
550,dish,36,n
551,punish,36,n
552,roll,36,n
553,stranger,36,n
554,anger,36,n
555,dreadful,36,n
556,save_life,36,n
557,poison,36,n
558,slave,36,n
559,disappear,36,n
560,letter,36,n
561,often,36,r
562,tortoise,36,n
563,unless,36,n
564,pocket,36,n
565,feed,36,n
566,vain,36,n
567,oblige,36,n
568,mountain,36,n
569,manage,36,n
570,pearl,36,n
571,perform,35,n
572,pleased,35,a
573,taste,35,n
574,uncle,35,n
575,flee,35,n
576,glitter,35,n
577,mine,35,n
578,straight,35,n
579,street,35,n
580,rule,35,n
581,forget,35,n
582,kadali-garbha,35,n
583,idea,35,n
584,black,35,a
585,pray,35,n
586,cave,35,n
587,wedding,34,n
588,officer,34,n
589,possible,34,a
590,throne,34,n
591,chapter,34,n
592,understand,34,n
593,afterwards,34,n
594,among,34,n
595,youth,34,n
596,faqîr,34,n
597,fool,34,n
598,desert,34,n
599,breakfast,34,n
600,wali,34,n
601,sort,34,n
