lemma,albanian,armenic,austronesian,bantu,celtic,chadic,east_asia,germanic,hellenic,hindustani,italic,native_american,native_cana,semitic,slavic,turkic,uralic,urgic
king,0.0,0.0,0.0007397942027036,0.0,0.004363462787542701,0.0,0.0025513508667171334,0.00354073084931244,0.009418873289497,0.00866400210492025,0.0041080570832704374,0.0012210846305578,0.0,0.0,0.0033778299004520776,0.0,0.0,0.0
would,0.0,0.0,0.0047920328835335795,0.0,0.004860514468436475,0.0,0.0057247485408156,0.00483574945873933,0.0077305846810023,0.00506183203237565,0.0024621252031535126,0.0077619995047349,0.0,0.0,0.0024801358969188778,0.0,0.0,0.0
princess,0.0,0.0,0.00029591768108144,0.0,0.0015445375373994,0.0,0.0017506313828393333,0.0014078594428087198,0.0021325750844144,0.0024056231440993,0.002019162976914525,0.0,0.0,0.0,0.0023682658051113557,0.0,0.0,0.0
could,0.0,0.0,0.0032740250434079203,0.0,0.00376188160348095,0.0,0.004391457570198233,0.00430100159226046,0.0067975830815709,0.0031949682382569,0.0017706553368557125,0.005866329658694,0.0,0.0,0.0019139184873433889,0.0,0.0,0.0
mother,0.0,0.0,0.0019890627811224603,0.0,0.001303712174624775,0.0,0.0025874569482815667,0.0017089165655026699,0.0033099342456015,0.0016601305551727,0.00075431740040255,0.0023653177808708,0.0,0.0,0.0014639700954094444,0.0,0.0,0.0
woman,0.0,0.0,0.00319578799089158,0.0,0.0022194709164081,0.0,0.002483574558312,0.00188000900762196,0.0018882175226586,0.00174783556563465,0.0010585920110947375,0.0071130314493335,0.0,0.0,0.0015105195723871222,0.0,0.0,0.0
daughter,0.0,0.0,0.00057426533223318,0.0,0.001648520239660525,0.0,0.0019357456726644335,0.00134156065066845,0.0017549315798827,0.00162880733715055,0.0010366374136256376,0.0020749899666123,0.0,0.0,0.0015353145461642112,0.0,0.0,0.0
look,0.0,0.0,0.00277469855808344,0.0,0.00268011990028185,0.0,0.004326878628966333,0.0036462299953895798,0.0061533676914874,0.00224274241038425,0.0011212117089242125,0.0075570622240818,0.0,0.0,0.002233750097907578,0.0,0.0,0.0
prince,0.0,0.0,0.0,0.0,0.0015898713158987,0.0,0.0016542160977155,0.0010403072970257602,0.0029989337124577,0.0045481312568128,0.001845132810380375,0.0001024686403265,0.0,0.0,0.0026640146602228444,0.0,0.0,0.0
father,0.0,0.0,0.00111010181437366,0.0,0.001598665998917725,0.0,0.0034017981406609,0.0016013709198531502,0.0029100764172738,0.0021111848946913,0.0008305911057233625,0.0031765278501225,0.0,0.0,0.0015386035270995445,0.0,0.0,0.0
house,0.0,0.0,0.00192346492702938,0.0,0.0023317147785076,0.0,0.0027577200869407,0.0021127920105758697,0.0024213612937622,0.00241188778770375,0.0007409926530768001,0.0049355728423946,0.0,0.0,0.0008001804770995222,0.0,0.0,0.0
time,0.0,0.0,0.0031642229486434402,0.0,0.003558539261813925,0.0,0.0047068473374157664,0.00269892086839743,0.0058423671583437,0.0028190896219914,0.0017994141544429498,0.0070703361825308,0.0,0.0,0.0022876242895949334,0.0,0.0,0.0
reply,0.0,0.0,0.00045732732530768,0.0,0.000434005415622375,0.0,0.0009317622323248,0.00079429454783612,0.0015994313133108,0.0018292759324922,0.0009847745278126875,0.0018017402590748,0.0,0.0,0.0006882532030763445,0.0,0.0,0.0
night,0.0,0.0,0.0015193871924565402,0.0,0.0030480360371974,0.0,0.0023378286859783667,0.00172530791953274,0.0023325039985782,0.00184180521970105,0.0006088505532323249,0.0046196278680545,0.0,0.0,0.0008701950833715889,0.0,0.0,0.0
like,0.0,0.0,0.0015764839051191,0.0,0.0033507585383927,0.0,0.0031355169197340997,0.0035797386360325,0.0065310111960191,0.00194830416097625,0.0014909458863739998,0.0051148929629661,0.0,0.0,0.0016970782971085447,0.0,0.0,0.0
palace,0.0,0.0,0.00014795884054072,0.0,0.00047322540473225,0.0,0.0011857613805979,0.00072873422529901,0.0020437177892304,0.00214250811271345,0.0008819380526161374,0.0001537029604898,0.0,0.0,0.0010181963529553777,0.0,0.0,0.0
upon,0.0,0.0,0.0004897180958795,0.0,0.0016964117910554,0.0,0.004171253645440034,0.0021590460544696896,0.0070197263195308,0.0014158094546001,0.0009623613179701124,0.0039621207592926,0.0,0.0,0.0010517894856210445,0.0,0.0,0.0
child,0.0,0.0,0.00185290799530702,0.0,0.00197428925236865,0.0,0.0029456526308548002,0.00196393655819396,0.0032877199218055,0.00137822159297355,0.000804372295127725,0.0039108864391293,0.0,0.0,0.0012731336852207444,0.0,0.0,0.0
told,0.0,0.0,0.00207855497204398,0.0,0.0020410146548677996,0.0,0.0019642275772178,0.0017510342055915902,0.002621290207926,0.00187312843772315,0.0009627052772502124,0.0037401053719184,0.0,0.0,0.0012321887664896555,0.0,0.0,0.0
