,X0,X1,Nation,language_family
1277,-17.842932,1.548714,North_American_Native,native_american
1278,-21.79611,-8.194958,Indian,hindustani
1279,-11.884455,6.616898,Irish,celtic
1280,28.140146,-7.0966816,Indian,hindustani
1281,0.18842639,31.601934,New_Zealand_Native,austronesian
1282,-21.94931,-16.567944,Scandinavian,germanic
1283,34.73019,11.63339,French,italic
1284,-4.7683825,-21.581463,Danish,germanic
1285,8.83304,-4.1976933,Greek,hellenic
1286,-33.58099,10.757297,North_American_Native,native_american
1287,-21.020643,-20.467245,Japanese,east_asia
1288,22.391562,10.0881195,Portuguese,italic
1289,-17.030476,-5.539033,Chinese,east_asia
1290,-17.380909,-33.16549,Nordic,germanic
1291,-9.341942,35.275467,Dutch,germanic
1292,-36.76044,-6.6440167,Indian,hindustani
1293,14.896988,-6.759363,French,italic
1294,3.7860675,15.076092,Indian,hindustani
1295,-2.7840683,6.547343,Scandinavian,germanic
1296,-24.848959,8.324216,Philippine,austronesian
1297,19.998415,-1.104537,North_American_Native,native_american
1298,27.750183,1.39021,Italian,italic
1299,23.981709,-6.642035,Indian,hindustani
1300,-36.403824,3.4427612,Greek,hellenic
1301,25.509178,-27.219227,Russian,slavic
1302,-7.281314,9.58159,North_American_Native,native_american
1303,9.065022,15.358584,Philippine,austronesian
1304,-23.028664,12.712498,Greek,hellenic
1305,23.398561,-16.882015,German,germanic
1306,15.548783,-33.94924,Russian,slavic
1307,4.8293924,1.0688927,Greek,hellenic
1308,7.4457607,14.641822,Albanian,albanian
1309,-27.625277,-13.923049,Nordic,germanic
1310,-21.643715,19.621975,North_American_Native,native_american
1311,-25.887505,14.709648,North_American_Native,native_american
1312,-20.157125,25.31138,Australian_Ethnic,austronesian
1313,28.851355,5.650712,Russian,slavic
1314,7.5370398,31.931576,Irish,celtic
1315,-3.537113,25.295698,North_American_Native,native_american
1316,21.245785,4.3875976,Indian,hindustani
1317,-13.959271,-7.758048,North_American_Native,native_american
1318,16.734575,-34.41536,Russian,slavic
1319,22.923168,-30.016884,Norwegian,germanic
1320,12.112753,-30.630772,Croatian,slavic
1321,8.52325,-22.854671,German,germanic
1322,-20.430557,-9.10675,Chinese,east_asia
1323,1.9226687,-27.104998,Slavic,slavic
1324,-14.384068,-34.565662,Brazilian,italic
1325,4.799286,-14.997904,Italian,italic
1326,-2.639185,-7.3351717,Italian,italic
1327,-7.1883926,-16.839437,Czechoslovak,slavic
1328,5.5168276,-21.562407,Ukrainian,slavic
1329,4.015504,7.19967,Greek,hellenic
1330,-43.622463,-5.607165,Indian,hindustani
1331,-24.0754,4.561228,North_American_Native,native_american
1332,-23.144844,24.922588,Australian_Ethnic,austronesian
1333,16.085499,-33.249702,Slavic,slavic
1334,9.2281685,-2.6778924,German,germanic
1335,2.182556,2.1725705,Greek,hellenic
1336,22.07948,17.914324,Brazilian,italic
1337,-10.39599,6.896448,Danish,germanic
1338,6.6880846,-14.723806,North_American_Native,native_american
1339,37.123367,15.769354,Greek,hellenic
1340,2.4713385,19.693098,English,germanic
1341,2.6266856,-2.9581196,Italian,italic
1342,-31.509026,-8.464577,Italian,italic
1343,-35.25862,-9.025447,Indian,hindustani
1344,-3.5151086,-8.137949,Italian,italic
1345,13.031394,-2.6934896,Greek,hellenic
1346,3.9288814,5.805321,Greek,hellenic
1347,2.0770245,-6.136928,French,italic
1348,4.5371785,24.021282,North_American_Native,native_american
1349,-24.674295,-13.4396715,Jewish,semitic
1350,-9.482892,-7.832069,Portuguese,italic
1351,13.904618,34.398296,English,germanic
1352,-18.953472,10.229868,Australian_Ethnic,austronesian
1353,10.897413,5.6553845,French,italic
1354,-10.54792,18.427069,Australian_Ethnic,austronesian
1355,9.834995,-37.385452,Turkish,turkic
1356,9.85352,29.671759,French,italic
1357,-23.921082,-0.3692384,German,germanic
1358,16.647142,2.4068546,Arabic,semitic
1359,-18.943773,-29.28311,English,germanic
1360,10.693608,21.002518,Scottish,celtic
1361,3.4552088,-24.543919,German,germanic
1362,5.0483446,4.6359224,Slavic,slavic
1363,-26.943508,1.6267928,North_American_Native,native_american
1364,9.848428,-2.1823864,Greek,hellenic
1365,-2.175465,21.96252,Irish,celtic
1366,-17.119677,-12.49515,Chinese,east_asia
1367,28.732294,21.271126,Spanish,italic
1368,8.463884,7.996086,Welsh,celtic
1369,-28.323206,-1.401897,Scottish,celtic
1370,-8.954125,-10.818663,North_American_Native,native_american
1371,16.11454,-27.083405,German,germanic
1372,20.618332,-11.055289,French,italic
1373,-11.117104,-11.836274,Indian,hindustani
1374,-8.371768,-1.1681893,Polish,slavic
1375,-4.020234,-20.468513,Swedish,germanic
1376,5.551712,-26.820694,Ukrainian,slavic
1377,-10.004118,-43.078793,Icelandic,germanic
1378,-15.65989,22.251738,Philippine,austronesian
1379,-25.525383,-16.177486,Nordic,germanic
1380,0.40747693,5.794417,Welsh,celtic
1381,2.4426434,16.68496,Indian,hindustani
1382,4.944913,-3.1903267,North_American_Native,native_american
1383,3.3022766,3.3478928,Scottish,celtic
1384,8.591971,-4.568383,Scottish,celtic
1385,0.47670764,18.354412,Japanese,east_asia
1386,1.2598344,-10.492726,German,germanic
1387,-6.194053,5.3590117,English,germanic
1388,32.836636,26.26955,Tanzanian,bantu
1389,-15.973699,17.413824,Philippine,austronesian
1390,-32.78454,-4.578238,Chinese,east_asia
1391,28.263288,18.341303,Indian,hindustani
1392,7.744776,-2.2619052,North_American_Native,native_american
1393,-12.966167,7.9994497,Scandinavian,germanic
1394,6.9909267,9.983357,Greek,hellenic
