,lemma,portuguese,north_american_native,english,german,scottish,danish,french,italian,greek,irish,nordic,scandinavian,russian,slavic,czechoslovak,japanese,chinese,indian,philippine,australian_ethnic,diff
0,king,0.0,0.0012210846305578562,0.007965820838906746,0.011965189232948795,0.0037220122128525735,0.005483191819170349,0.014382836627126597,0.018481620039037087,0.009418873289497068,0.01373183893731839,0.006140513010083585,0.003852593592015215,0.0076791517017273814,0.008203984792613556,0.01451733260972797,0.004190890975203895,0.00346316162494765,0.017328004209840504,0.003698971013518058,0.0,0.01726053540847923
1,would,0.0,0.007761999504734905,0.010161911797001337,0.008856506780004048,0.009363186972957255,0.009439418827938828,0.011076311970055763,0.008620689655172414,0.0077305846810023105,0.01007887090078871,0.011397942209352474,0.008501714973096867,0.006020181289550197,0.007346425406626076,0.008954616376093887,0.007251884873759681,0.00992236074868722,0.010123664064751356,0.008070482211312126,0.015889682206355872,0.01726053540847923
2,princess,0.0,0.0,0.0020363752520513485,0.0025419955474600283,0.0018610061064262867,0.0060615875806862085,0.012920545194626624,0.003232758620689655,0.0021325750844144306,0.004317144043171441,0.0008214733123857638,0.0026171627355040072,0.004994014024285958,0.011605637023697225,0.00471474119801913,0.0038827372270271382,0.0013691569214909314,0.0048112462881986645,0.001479588405407223,0.0,0.01726053540847923
3,could,0.0,0.005866329658694037,0.006847810896604045,0.007860756931795183,0.00558301831927886,0.01149850773893529,0.009122952519178934,0.0050422901756668834,0.006797583081570997,0.009464508094645082,0.008707617111289097,0.008095323243981338,0.005609714383444502,0.005917159763313609,0.005698392239332474,0.006183618546746924,0.006990754163847814,0.0063899364765138515,0.008810276414015737,0.007559848803023939,0.01726053540847923
4,mother,0.0,0.0023653177808708125,0.004272395136656751,0.0043958712811171825,0.001512067461471358,0.0022673113851421696,0.001724194375634296,0.004310344827586207,0.003309934245601564,0.0037027812370278123,0.0023822726059187153,0.0037713152461921096,0.002719343252950231,0.002858531286624932,0.007597856319109965,0.004170347391992111,0.0035920234528526787,0.0033202611103454326,0.0032954469029524516,0.006649867002659947,0.01726053540847923
5,woman,0.0,0.007113031449333527,0.005689872027790533,0.0045415907710989675,0.004012794416981681,0.0020590889109964603,0.0029791459781529296,0.0054895901106050745,0.0018882175226586104,0.004865089248650893,0.0026081777668248004,0.0039013605995090786,0.004121771848811356,0.005402624131721122,0.004070280170951767,0.004293608891262814,0.0031571147836732066,0.0034956711312693423,0.006389131750622099,0.009589808203835924,0.01726053540847923
6,daughter,0.0,0.0020749899666123012,0.0027151670027351317,0.004412062335559603,0.003024134922942716,0.00263748467251232,0.0026408546766044285,0.005652244632400781,0.0017549315798827084,0.0035699460356994604,0.001293820467007578,0.0023570720288700686,0.0047203694202154955,0.0046879913100648886,0.004409470185197748,0.00265012223432011,0.0031571147836732066,0.003257614674301179,0.0016813504606900261,0.0011899762004759906,0.01726053540847923
7,look,0.0,0.007557062224081838,0.0065683084110283695,0.007285974499089253,0.0033149171270718232,0.007380329916942369,0.005248971485317066,0.003720722186076773,0.006153367691487471,0.007405562474055625,0.0077013123036165365,0.007526374823219598,0.006345134256883872,0.006974816339364834,0.006783800284919612,0.007375146373030384,0.005605489513868754,0.0044854848207685465,0.006523639787477302,0.007349853002939942,0.01726053540847923
8,prince,0.0,0.0001024686403265334,0.002056339715306754,0.0019186399514268366,0.0,0.004557758600744974,0.008173554350317011,0.006587508132726089,0.002998933712457793,0.006359485263594852,0.00047234715462181424,0.00139798754815742,0.004344108089618608,0.014035388617328417,0.00559663523505868,0.0035129527292150297,0.0014496955639315744,0.0090962625136256,0.0,0.0,0.01726053540847923
9,father,0.0,0.0031765278501225355,0.003014633951566212,0.005083991094920057,0.00279150915963943,0.0032158804340281792,0.0026190294313432347,0.004025699414443721,0.002910076417273858,0.003603154836031548,0.002813546094921241,0.0018856576230960548,0.005592611595690098,0.004659405997198639,0.0035954141510073944,0.005115352219734166,0.005090042202248639,0.004222369789382682,0.004640527271504473,0.0009099818003639928,0.01726053540847923
10,house,0.0,0.004935572842394692,0.004811435644552696,0.003982999392835459,0.004943297470194824,0.003794276195544039,0.001800582734048474,0.004127358490566038,0.002421361293762218,0.004383561643835616,0.0043127348900252604,0.004226473982801502,0.002770651616213443,0.0024297515936311923,0.0020012210840512855,0.004745567721922058,0.0035275925389001645,0.004823775575407515,0.00961732463514695,0.0,0.01726053540847923
11,time,0.0,0.007070336182530805,0.007027491065902693,0.005666869054847197,0.005931956964233789,0.005228697684103371,0.007136855200410314,0.007258458035133377,0.0058423671583437,0.008302200083022002,0.003799314069784158,0.0052668368093372565,0.005643919958953309,0.007889546351084813,0.007055152296316396,0.006984818292006492,0.007135723720240972,0.00563817924398281,0.008541260340305333,0.007279854402911942,0.01726053540847923
12,reply,0.0,0.001801740259074879,0.0013975124278783765,0.0023396073669297713,0.0012212852573422507,0.0014575573190199662,0.0032628741665484467,0.004615322055953155,0.0015994313133108227,0.000514736405147364,0.0012527468013882898,0.001495521563145147,0.002668034889687019,0.0029157019123574306,0.0006105420256427651,0.0006368510795652977,0.002158435617409233,0.003658551864984401,0.0022866366265384356,0.0,0.01726053540847923
13,night,0.0,0.004619627868054548,0.0046317554752540475,0.003626796195102206,0.00639720849084036,0.0030307937903431043,0.0022480002619029433,0.002622804163955758,0.002332503998578283,0.005794935657949357,0.0028751565933501735,0.003088577141278021,0.0024628014366341712,0.0034016522310836694,0.0019673020826266874,0.004581219056227787,0.002432267001707419,0.0036836104394021023,0.004237003160938866,0.0033599328013439733,0.01726053540847923
14,like,0.0,0.0051148929629661255,0.00660823733753918,0.005844970653713823,0.004652515266065717,0.009462554658399463,0.0046487772406342415,0.00727878985035784,0.006531011196019193,0.00875051888750519,0.006078902511654652,0.007802721199018157,0.005678125534462117,0.004745161935797387,0.004850417203717523,0.005444049551122707,0.003962501208079636,0.003896608321952564,0.004102495124083664,0.0037799244015119695,0.01726053540847923
15,palace,0.0,0.0001537029604898001,0.0015971570604324302,0.0011738514470754908,0.0,0.001966545589153923,0.0032737867891790436,0.0037817176317501626,0.0020437177892304956,0.0018929016189290161,0.0013143572998172222,0.0012354308565112083,0.0035573798529160254,0.0034016522310836694,0.002204735092598874,0.0023008813197197856,0.001256402822074031,0.004285016225426936,0.0007397942027036115,0.0,0.01726053540847923
16,upon,0.0,0.003962120759292625,0.002914811635289185,0.00229103420360251,0.003896481535330038,0.00469657358350878,0.0040594956185820135,0.00363939492517892,0.007019726319530834,0.002889165628891656,0.006551249666276467,0.005136791456020287,0.0033863519753719856,0.0037732612983449104,0.002306492096872668,0.008196889701501736,0.004316871234818466,0.0028316189092002556,0.0017486044791176273,0.0006999860002799944,0.01726053540847923
17,child,0.0,0.0039108864391293584,0.0017968016929864842,0.006152600688119814,0.0025007269555103228,0.004395807787520533,0.0026735925444962188,0.0037613858165256994,0.0032877199218055804,0.005396430053964301,0.0030189144230176822,0.004275240990295365,0.004207285787583376,0.0038590172369436584,0.003391900142459806,0.00616307496353514,0.0026738829290293485,0.0027564431859471513,0.002824668773959244,0.006439871202575949,0.01726053540847923
18,told,0.0,0.003740105371918469,0.004891293497574317,0.003222019834041692,0.004245420180284966,0.003192744603567545,0.0032083110533954627,0.004493331164606376,0.0026212902079260705,0.003918638439186385,0.0037171667385455815,0.0024871173821870377,0.0033692491876175816,0.0038876025498099077,0.0038328471609795807,0.002896645232861516,0.0029960374987919205,0.003746256875446356,0.006052861658484094,0.0043399132017359655,0.01726053540847923
19,word,0.0,0.0012296236839184009,0.002096268641817565,0.0017405383525602104,0.001395754579819715,0.0020590889109964603,0.002717243035018606,0.0032734222511385815,0.0017993602274746757,0.0022748028227480284,0.002300125274680139,0.002031958645577645,0.002531212587651787,0.0028871165994911814,0.0019333830812020894,0.0023008813197197856,0.0026255597435649626,0.00254344530339669,0.0009415562579864146,0.0013299734005319894,0.01726053540847923
20,must,0.0,0.004090206559700792,0.003813212481782427,0.005925925925925926,0.003896481535330038,0.0065937116812807995,0.004201359712779773,0.005021958360442421,0.004043006930869024,0.004034869240348692,0.00421005072597704,0.004584098704423167,0.0030613990080383103,0.003573164108281165,0.00437555118377315,0.0046428498058631385,0.004059147579008408,0.0056256499567739595,0.005514829511063286,0.005879882402351953,0.01726053540847923
21,shall,0.0,0.0029459734093878354,0.003952963724570265,0.0049868447682655335,0.0018610061064262867,0.004927931888115124,0.004550563636958871,0.004635653871177619,0.004642793673360583,0.002640099626400996,0.0031010617542562586,0.0038851049303444576,0.003984949546776124,0.004001943801274905,0.0037989281595549825,0.0029993631489204347,0.002722206114493734,0.004360191948680039,0.0028919227923868453,0.007559848803023939,0.01726053540847923
22,wife,0.0,0.0038596521189660916,0.004052786040847292,0.003570127504553734,0.004594358825239895,0.0019434097586932882,0.0021825245261193624,0.005509921925829538,0.0018215745512706594,0.00199252801992528,0.0028956934261598175,0.0022757936830469627,0.0048571917222507265,0.004344967555669897,0.0036971711552811885,0.0039649115598742735,0.0037531007377339647,0.007567689474145816,0.005649337547918488,0.005949881002379953,0.01726053540847923
23,pedro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
24,heard,0.0,0.0033900041841361467,0.003334065363652698,0.003302975106253795,0.003140447804594359,0.0038405478564653077,0.003306524657070834,0.004249349381912817,0.0030211480362537764,0.0042673308426733085,0.003039451255827326,0.0031373441487718844,0.0037968188814776808,0.003544578795414916,0.002306492096872668,0.0026706658175318938,0.002351728359266776,0.0028817360580356585,0.003093684847669648,0.004689906201875963,0.01726053540847923
25,home,0.0,0.004739174615102169,0.004312324063167562,0.00518113742157458,0.00319860424542018,0.004048770330611017,0.0013095147156716174,0.003375081327260898,0.003820863692909188,0.004200913242009132,0.002341198940299427,0.003088577141278021,0.004087566273302548,0.00420204099133865,0.00576623024218167,0.004725024138710274,0.0035114848104120357,0.00345808326964279,0.008003228192884525,0.0018899622007559848,0.01726053540847923
26,queen,0.0,8.53905336054445e-05,0.002275948811116213,0.0021372191863995144,0.0008141901715615005,0.00263748467251232,0.008948350557089386,0.0032530904359141183,0.0021770037320063976,0.0039020340390203403,0.0013348941326268662,0.0009915958190418908,0.0014024285958611255,0.0014864362690449647,0.0019333830812020894,0.0006779382459888653,0.0003543700267388293,0.003783844737072908,0.0,0.0,0.01726053540847923
27,thought,0.0,0.003005746782911646,0.0033540298269081037,0.005521149564865412,0.002675196277987787,0.007218379103717928,0.004255922825932757,0.002724463240078074,0.002732361826905989,0.0034205064342050645,0.00556548169141355,0.006112131605897557,0.0034889687018984095,0.003630334734013664,0.0031205481310630214,0.0033075168970971916,0.0024644824586836766,0.00491148058586947,0.0026229067186764408,0.003849923001539969,0.01726053540847923
28,beautiful,0.0,0.0013918656977687453,0.0024157000539040507,0.0032624974701477433,0.000756033730735679,0.004904796057654489,0.003481126619160383,0.004086694860117111,0.002088146436822463,0.002308011623080116,0.003614482574497361,0.004957979095209454,0.00314691294681033,0.0037160906726124115,0.0033579811410352077,0.002383055652566921,0.0012725105505621598,0.0034956711312693423,0.0043042571793664676,0.0009099818003639928,0.01726053540847923
29,door,0.0,0.002160380500217746,0.00237577112739324,0.0021776968225055656,0.002035475428903751,0.0014344214885593318,0.001211301111996246,0.001524886141834743,0.000888572951839346,0.0018430884184308842,0.00170455712320046,0.0015767999089682527,0.0013340174448435095,0.0017437040848412085,0.0008140560341903534,0.0009860919941656224,0.0017235269482297607,0.0009772844022903537,0.0010088102764140158,0.0,0.01726053540847923
30,found,0.0,0.0037657225320001024,0.0034139232166743197,0.0034405990690143697,0.0037220122128525735,0.00300765795988247,0.004124971354365595,0.00370039037085231,0.0032655055980095964,0.0032378580323785804,0.002813546094921241,0.0026496740738332493,0.0023430819223533438,0.004030529114141155,0.0025778441082694526,0.003595127062062165,0.002561128829612448,0.003921666896370265,0.004909543345214876,0.003639927201455971,0.01726053540847923
31,place,0.0,0.0038596521189660916,0.002914811635289185,0.00287391216352965,0.0055248618784530384,0.0038405478564653077,0.003230136298656656,0.0029887768379960964,0.0023102896747822996,0.005280199252801992,0.0033064300823526997,0.0034787132012289285,0.002582520950914999,0.0036017494211474143,0.0026456821111186485,0.0033691476467325432,0.0034309461679713927,0.003696139726610953,0.005918353621628892,0.0037799244015119695,0.01726053540847923
32,hand,0.0,0.002980129622830013,0.004472039769210805,0.0038453754300748835,0.0033730735678976446,0.0037017328737015015,0.003415650883376802,0.003720722186076773,0.004420650435400747,0.004051473640514737,0.005709239521081059,0.0036900369003690036,0.003984949546776124,0.0046022353714661405,0.005698392239332474,0.0039854551430860575,0.0032376534261138496,0.0033327903975542833,0.0022193826081108345,0.002239955200895982,0.01726053540847923
33,water,0.0,0.003629097678231391,0.0025953802232026994,0.003027727180732645,0.003256760686246002,0.002776299655276126,0.0017678448661566835,0.00219583604424203,0.00279900479829394,0.0038356164383561643,0.002793009262111597,0.0033649235170765805,0.0034889687018984095,0.003573164108281165,0.00576623024218167,0.0029993631489204347,0.0032376534261138496,0.0025935624522320927,0.006052861658484094,0.010219795604087919,0.01726053540847923
