,verb,present,cogmech,insight,time,relativ,funct,negate,quant,social,certain,affect,posemo,money,auxverb,future,discrep,humans,negemo,sad,percept,feel,family,bio,health,body,incl,motion,space,tentat,home,past,ingest,relig,number,achieve,adverb,work,friend,cause,anger,hear,pronoun,ipron,excl,leisure,preps,conj,death,inhib,see,ppron,i,anx,nonfl,sexual,swear,filler,assent,you,they
sid0,34,26,30,5,14,41,23,2,8,36,10,53,40,6,4,4,5,11,13,2,6,1,8,8,4,3,4,17,9,5,4,4,1,11,5,7,4,2,2,3,11,4,1,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sid1,115,75,104,38,44,113,65,7,12,96,12,129,75,11,12,6,11,20,54,19,37,17,14,25,1,19,15,57,10,10,13,32,2,15,10,20,12,11,5,8,16,14,9,8,2,7,3,5,3,3,7,1,1,11,2,3,1,0,0,0,0
sid2,20,11,17,2,8,21,18,1,2,16,1,30,18,1,3,2,4,3,12,6,7,5,4,6,0,4,3,8,3,1,3,6,2,1,0,7,8,5,2,2,3,1,3,3,0,3,1,4,0,3,1,0,0,0,3,0,0,0,0,0,0
sid3,199,99,287,62,141,330,234,14,38,155,34,201,130,13,58,38,51,29,71,16,90,23,34,70,10,40,10,93,88,45,26,49,15,9,25,131,61,38,11,33,27,24,20,20,11,25,30,11,1,37,37,0,0,12,13,7,0,3,0,0,0
sid4,219,141,210,42,137,276,166,5,25,131,19,131,84,3,40,26,40,37,47,5,60,35,8,62,3,50,44,69,70,20,6,39,7,1,13,13,47,4,5,21,26,17,11,10,5,46,26,6,15,14,6,1,1,13,0,4,0,4,0,0,0
sid5,70,32,89,22,38,126,97,12,18,46,15,74,54,1,20,14,18,0,20,3,17,4,2,11,3,3,12,22,58,9,2,19,6,10,2,26,23,23,5,3,13,4,8,6,8,3,26,4,5,7,8,2,2,2,5,1,1,1,1,0,0
sid6,45,42,12,3,4,25,8,2,1,34,2,16,11,0,1,0,1,10,5,0,1,0,0,36,0,12,1,13,8,0,0,2,24,1,0,2,3,2,0,0,3,0,0,0,1,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0
sid7,23,13,20,5,17,70,16,3,4,28,4,15,7,0,2,2,1,2,8,1,26,4,7,14,3,9,2,21,30,2,13,8,1,1,1,2,2,1,2,2,1,14,1,1,0,1,4,1,1,3,7,0,0,3,0,1,0,0,0,0,0
sid8,167,98,152,40,82,198,120,12,15,177,24,86,49,5,35,27,37,54,37,18,61,25,54,56,5,26,10,67,47,17,9,35,25,1,8,16,33,14,1,11,4,20,5,5,9,16,21,6,7,15,17,0,0,11,5,1,0,3,1,0,0
sid9,92,47,77,9,35,86,60,4,5,61,11,39,31,9,25,16,32,5,8,2,20,8,20,19,3,15,14,29,22,5,8,20,1,0,4,15,14,3,0,6,2,2,4,4,1,2,6,1,0,4,10,0,0,1,3,0,0,3,0,0,0
sid10,7,6,7,1,1,26,16,1,11,9,1,21,4,8,1,1,1,5,17,14,9,7,4,26,0,17,0,6,18,1,65,0,9,0,1,0,0,0,0,3,0,0,0,0,1,1,3,0,11,0,9,0,0,3,0,14,14,0,0,0,0
sid11,49,32,56,17,34,76,59,3,8,87,7,86,61,4,9,2,8,23,25,9,38,13,35,14,3,7,4,11,32,10,9,12,3,7,1,13,17,2,3,2,10,3,14,6,1,0,8,4,6,10,17,8,0,5,1,1,0,2,0,8,0
sid12,8,3,12,3,3,15,8,0,0,3,0,7,4,0,3,2,2,0,3,0,2,1,0,4,0,4,1,6,6,2,0,2,0,0,0,5,3,2,1,3,2,1,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0
sid13,15,13,21,3,5,17,16,0,4,7,3,24,24,7,2,1,5,0,0,0,6,0,0,0,0,0,8,9,5,3,4,1,0,16,1,0,4,0,1,2,0,6,3,1,0,6,2,3,0,0,0,2,0,0,0,0,0,2,0,2,0
sid14,6,4,5,3,2,4,3,1,0,1,0,7,3,1,0,0,0,0,4,1,1,1,0,4,0,3,0,2,0,0,1,2,1,2,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0
sid15,209,134,155,20,163,371,166,4,16,193,29,108,60,2,29,20,36,58,48,8,118,71,74,100,4,57,40,105,100,9,56,50,39,0,21,17,42,2,15,22,21,26,15,15,8,42,47,7,15,18,16,0,0,5,3,1,0,4,3,0,0
sid16,301,171,332,101,182,371,302,21,43,122,46,196,130,13,70,45,74,3,66,16,103,30,27,100,24,40,39,99,88,48,40,63,34,3,20,74,92,14,4,10,17,24,29,29,19,41,34,16,12,23,41,0,0,19,23,2,0,9,2,0,0
sid17,71,39,64,15,27,93,49,1,5,61,8,25,13,2,18,13,15,20,12,2,25,9,18,27,6,8,10,33,30,6,9,16,13,0,1,5,9,3,1,11,5,3,1,1,0,6,16,1,3,5,11,0,0,1,1,0,0,0,1,0,0
sid18,41,22,54,12,33,84,57,4,9,41,8,49,25,3,9,8,11,4,23,3,16,6,10,15,1,9,4,23,25,8,6,10,4,1,6,16,8,1,0,8,9,2,16,3,2,7,8,3,5,6,7,13,0,7,2,1,0,3,1,13,0
sid19,76,50,79,13,58,141,83,3,12,49,10,45,22,4,11,9,17,13,23,7,24,10,4,25,3,19,13,42,41,7,15,15,1,3,22,35,17,6,0,10,10,7,8,8,2,10,12,6,9,11,8,0,0,2,1,2,0,2,0,0,0
sid20,32,29,16,3,9,34,14,1,2,42,3,18,14,6,0,0,1,17,4,3,5,4,11,8,1,3,2,18,7,2,2,3,4,1,0,1,8,1,0,3,1,0,3,3,3,0,1,2,0,1,3,0,0,0,5,0,0,0,0,0,0
sid21,90,53,129,30,68,150,92,8,14,44,21,77,52,3,18,9,32,2,25,7,35,14,11,30,7,15,12,48,37,18,2,19,7,1,2,15,30,7,1,12,8,13,8,7,6,25,18,10,1,7,9,1,1,3,5,2,0,5,0,0,0
sid22,97,53,135,26,50,133,91,6,23,53,35,99,69,11,20,16,21,4,29,5,41,10,3,56,3,17,17,44,33,15,14,24,36,16,10,54,15,9,2,9,6,10,6,6,2,13,12,5,2,7,13,0,0,9,1,0,0,0,1,0,0
sid23,29,25,15,1,36,89,13,0,7,25,1,1,1,0,0,0,0,21,0,0,5,0,0,11,0,11,11,19,34,0,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,6,0,0,4,0,0,0,0,0,0,0,0,0,0
sid24,118,64,106,16,49,140,103,9,13,77,11,69,48,3,26,19,30,7,21,7,39,10,30,38,9,25,15,55,38,11,18,31,2,7,11,40,26,2,0,14,7,12,6,4,1,22,12,12,3,6,17,2,0,4,1,19,18,3,0,2,0
sid25,94,61,89,19,70,157,61,4,9,69,19,59,34,0,13,7,15,9,25,1,36,7,1,22,2,15,15,43,49,3,4,21,5,5,0,28,15,8,4,14,9,18,6,4,0,26,18,0,1,11,10,2,2,3,2,1,0,4,0,0,0
sid26,139,92,143,33,76,224,137,13,16,57,26,80,68,6,28,20,35,0,12,3,27,7,15,42,7,23,33,64,84,2,25,19,10,15,5,20,48,5,7,12,1,8,5,5,2,3,23,2,2,12,4,0,0,3,20,2,0,4,0,0,0
sid27,128,64,113,14,110,255,147,15,19,83,23,133,91,5,28,21,32,10,41,8,90,36,22,92,18,53,23,68,88,7,19,37,20,33,10,38,22,5,1,10,11,11,15,3,4,22,43,10,21,17,42,12,3,15,2,4,0,12,1,9,0
sid28,9,8,22,2,15,29,19,1,2,20,8,21,13,1,0,0,1,6,8,7,10,4,3,6,0,5,2,7,8,2,14,1,0,0,5,7,2,2,1,4,1,3,5,2,0,4,4,1,9,3,1,3,0,0,1,1,0,1,0,3,0
sid29,71,47,83,13,75,156,70,3,14,52,9,67,54,7,14,9,17,10,13,2,48,15,5,28,5,13,9,46,40,14,15,12,8,7,16,17,16,19,6,8,2,9,3,2,2,38,6,4,1,8,18,1,0,0,2,2,0,2,0,1,0
sid30,239,136,250,68,160,378,331,14,53,149,32,155,111,7,69,43,69,18,43,10,62,19,40,90,4,36,34,117,100,23,49,40,48,13,54,100,72,13,2,26,16,13,36,20,5,22,37,14,5,17,20,16,3,9,15,2,0,7,3,13,0
sid31,69,48,88,25,44,132,67,3,10,69,17,82,59,4,8,4,9,1,23,5,41,19,12,23,2,10,12,44,44,5,3,16,11,3,2,27,27,14,2,4,10,14,8,7,2,9,10,3,6,9,7,1,1,5,12,1,0,2,1,0,0
sid32,45,25,76,23,46,83,54,11,7,33,17,70,59,6,8,5,15,4,11,1,35,12,6,26,4,11,2,23,17,9,3,13,11,15,8,15,12,12,11,7,2,14,3,3,8,33,10,6,2,3,7,0,0,4,1,1,0,6,0,0,0
sid33,11,5,10,2,3,12,12,1,2,4,1,7,6,1,4,3,3,0,1,1,1,1,1,6,1,2,2,3,6,1,1,2,3,0,0,4,3,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0
sid34,7,5,13,3,12,42,13,0,5,6,0,5,4,0,1,1,1,0,1,1,0,0,1,2,1,1,1,8,17,2,4,1,0,0,1,2,3,1,1,4,0,0,0,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0
sid35,131,73,112,24,49,121,98,4,14,90,10,68,55,25,31,25,36,20,13,4,38,13,19,33,5,17,16,37,36,17,17,27,6,0,13,8,19,6,3,12,1,10,10,9,2,23,8,6,0,0,15,1,0,2,6,5,0,2,0,0,1
sid36,272,154,269,57,175,556,336,16,55,171,44,283,157,13,52,45,63,23,124,39,147,49,22,210,29,132,60,154,250,22,28,66,46,18,18,71,52,19,12,28,48,45,29,7,5,88,124,43,34,27,57,22,1,24,10,7,3,19,0,21,0
sid37,94,50,105,16,57,138,90,12,14,56,25,67,42,11,17,14,10,12,25,2,52,33,7,52,5,43,9,31,50,13,0,27,4,0,7,6,22,22,2,22,12,8,7,7,4,8,15,5,11,7,10,0,0,2,1,1,0,2,0,0,0
sid38,319,219,351,79,210,720,405,20,40,521,36,331,224,9,38,22,48,29,104,25,169,46,135,195,39,128,65,265,228,15,15,62,22,41,81,113,56,26,8,44,49,51,115,14,9,30,68,9,34,33,67,101,0,15,10,12,5,9,0,101,0
sid39,242,139,213,48,132,331,179,12,19,235,25,124,63,9,45,30,65,77,60,16,71,15,56,58,32,19,32,115,86,12,7,60,6,2,5,19,34,1,3,14,36,28,13,13,11,30,53,5,19,16,23,0,0,4,5,1,0,5,0,0,0
sid40,73,41,89,31,37,91,77,7,19,36,11,34,26,3,11,6,13,1,8,1,39,25,14,17,3,14,12,16,36,9,3,21,0,4,7,3,21,1,0,2,3,5,3,2,2,2,14,4,1,8,7,1,0,1,8,1,2,1,0,0,0
sid41,403,231,459,110,247,727,430,21,72,169,43,345,239,15,81,47,95,24,106,15,159,58,9,166,28,105,70,205,270,43,23,95,31,16,47,106,96,39,20,67,35,40,19,19,20,47,95,27,14,29,59,0,0,24,11,2,0,4,4,0,0
sid42,99,64,148,45,67,152,109,9,13,97,16,107,77,13,14,12,21,18,30,8,32,8,39,29,7,18,17,35,52,21,16,22,0,3,7,41,27,9,1,9,5,10,14,14,13,11,28,10,0,14,11,0,0,4,4,4,1,5,1,0,0
sid43,96,52,95,20,68,150,91,6,6,64,10,85,55,0,22,20,27,12,28,14,100,11,7,31,7,17,7,43,41,18,11,22,1,26,14,9,15,4,0,9,3,55,9,9,4,25,23,5,7,9,26,0,0,6,1,6,0,7,0,0,0
sid44,66,47,81,27,40,105,78,8,11,42,10,85,41,28,9,6,15,4,44,15,35,10,4,28,3,15,9,28,31,10,14,11,10,13,10,6,10,4,5,8,6,9,20,7,3,6,12,1,11,6,13,13,2,12,1,0,0,3,1,11,0
sid45,520,263,666,198,379,1074,661,39,178,361,88,569,421,77,96,63,127,69,144,43,392,180,77,235,70,100,73,253,468,89,105,175,47,105,37,118,141,59,26,79,47,82,32,27,15,83,161,24,65,46,96,5,2,20,26,21,3,39,2,3,0
sid46,41,32,54,4,44,100,43,2,5,39,11,39,30,2,3,3,11,13,9,2,35,7,6,21,5,11,16,25,28,4,3,6,5,1,2,2,12,1,1,3,2,5,5,5,1,19,18,1,2,7,23,0,0,1,2,1,0,2,0,0,0
sid47,29,21,26,5,19,70,31,2,4,15,1,23,11,0,6,4,4,0,12,1,18,11,0,9,2,4,5,17,31,1,1,3,3,20,0,2,8,1,0,2,2,4,5,0,2,0,8,5,0,3,3,5,0,0,0,0,0,1,0,5,0
sid48,181,103,219,56,78,182,191,15,38,140,30,134,108,22,49,21,59,25,25,12,58,20,39,45,5,31,23,52,56,24,37,36,9,17,17,25,34,72,4,8,1,15,21,21,15,71,22,15,3,7,15,0,0,7,3,0,0,6,0,0,0
sid49,9,5,4,0,5,7,5,0,0,7,0,3,2,4,3,3,3,1,1,0,4,0,3,7,0,3,2,3,0,0,1,1,4,0,0,0,1,2,0,0,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
sid50,310,173,492,144,197,636,468,19,76,178,58,342,226,49,81,45,92,15,116,25,83,32,18,132,20,78,41,135,304,53,56,60,34,17,37,124,122,63,17,71,38,13,50,13,17,37,97,40,22,39,20,37,0,24,14,2,0,10,1,37,0
sid51,315,179,295,65,160,464,303,18,39,210,39,292,181,26,55,40,73,77,111,42,142,70,58,137,25,74,51,125,194,46,41,83,36,13,43,87,68,5,1,14,29,32,14,11,11,52,75,9,20,28,48,3,3,18,11,2,15,19,0,0,0
sid52,119,65,118,16,110,296,111,7,8,55,13,116,62,1,28,17,23,32,54,7,55,9,5,22,2,7,39,74,114,6,6,26,12,2,2,21,29,2,1,5,32,23,0,0,3,20,38,4,15,17,21,0,0,6,1,2,0,6,0,0,0
sid53,863,450,1097,310,587,1605,1022,57,204,665,168,812,611,51,183,103,249,186,199,65,520,159,110,357,65,165,96,427,649,162,183,249,84,60,53,186,253,83,23,83,47,138,71,48,37,179,230,66,37,97,190,23,12,48,30,49,3,79,1,11,0
sid54,6,3,19,3,2,7,11,2,2,5,6,16,8,3,1,1,3,2,8,0,1,0,0,4,1,3,0,1,3,3,0,2,0,0,0,0,3,1,0,3,2,1,1,1,1,0,4,1,0,2,0,0,0,0,1,0,0,0,0,0,0
sid55,4,4,9,3,3,9,5,0,4,6,1,16,6,4,0,0,0,0,10,5,6,1,1,5,1,2,0,1,5,2,1,0,2,2,0,2,0,5,1,3,2,0,0,0,0,1,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0
sid56,56,37,49,9,21,61,44,2,11,16,6,19,14,0,8,7,8,10,5,2,23,9,1,17,2,9,4,22,19,3,2,12,6,0,4,1,6,1,2,16,0,1,3,3,1,5,9,1,1,6,13,0,0,3,1,0,0,1,0,0,0
sid57,38,19,42,12,15,49,31,4,4,16,4,22,20,5,9,6,9,8,2,0,6,1,2,28,3,5,5,16,19,5,1,10,19,3,0,2,6,2,1,4,1,2,5,5,3,23,4,2,0,3,1,0,0,1,5,2,1,2,0,0,0
sid58,335,199,384,102,198,476,335,42,61,185,62,237,147,21,59,41,74,25,85,28,171,55,28,132,19,69,36,147,133,64,74,82,40,3,33,93,82,38,15,29,25,52,24,23,27,37,50,16,9,33,61,1,1,12,23,4,3,13,0,0,0
sid59,69,32,98,14,26,153,71,5,16,53,11,69,55,26,15,8,15,9,14,0,55,24,1,31,0,26,11,38,86,9,14,23,4,5,8,23,13,7,7,15,8,7,4,4,7,11,12,4,0,15,19,0,0,6,1,1,0,2,2,0,0
sid60,177,116,161,52,108,229,131,7,13,84,25,127,96,8,29,18,39,5,31,10,92,43,15,124,20,68,12,66,50,14,10,32,34,5,24,74,32,13,0,16,6,27,13,8,3,14,16,3,18,18,18,5,5,6,3,3,1,9,1,0,0
sid61,7,2,5,3,5,12,4,0,0,23,0,30,28,4,0,0,0,22,2,0,4,4,0,28,0,28,2,3,4,0,9,5,0,0,2,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0
sid62,128,84,108,30,67,172,79,8,18,106,15,96,76,13,11,8,20,14,20,7,57,16,31,72,4,39,15,64,39,11,15,33,26,11,5,39,15,7,1,14,6,13,3,1,4,18,21,5,2,6,23,2,1,4,1,5,1,5,0,1,0
sid63,15,6,31,10,4,11,16,1,3,8,4,20,11,1,5,4,4,0,9,1,3,2,1,1,0,0,1,4,4,5,0,4,1,2,1,6,5,7,0,4,1,1,1,1,1,0,1,0,2,4,1,0,0,3,4,0,0,1,0,0,0
sid64,22,18,34,9,24,56,24,0,3,28,1,29,16,3,2,2,4,5,13,2,8,4,5,19,2,15,9,18,14,1,9,2,0,4,1,3,9,0,1,5,5,3,4,2,0,0,4,5,2,4,2,2,0,3,0,4,0,2,0,2,0
sid65,11,8,17,6,16,21,14,1,5,28,4,12,9,1,0,0,2,7,3,1,7,2,12,9,1,8,0,0,7,0,0,3,0,5,1,0,2,0,0,4,0,2,3,1,0,0,2,1,2,2,3,2,0,1,0,0,0,2,0,2,0
sid66,76,39,61,15,25,73,54,1,9,97,5,56,37,5,12,9,12,19,19,2,16,3,35,16,2,6,5,25,21,6,7,28,3,1,14,32,8,6,1,9,14,3,1,1,1,8,9,6,8,6,12,0,0,2,0,5,0,2,4,0,0
sid67,190,116,243,65,105,338,195,10,31,96,32,221,141,19,44,23,56,22,79,13,119,49,27,87,9,36,34,99,140,41,21,36,37,5,7,19,58,12,3,19,31,18,13,13,8,29,39,5,5,13,51,0,0,19,19,6,3,11,0,0,0
sid68,161,101,152,27,105,236,196,14,33,46,27,107,71,6,28,20,27,0,36,7,47,23,2,60,16,25,30,74,57,20,47,35,18,5,23,43,54,8,5,11,14,7,15,13,6,27,33,7,3,13,21,2,2,7,14,1,0,3,0,0,0
sid69,4,3,4,1,4,7,1,0,0,2,0,3,1,0,0,0,0,0,2,0,0,0,0,5,1,4,2,2,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sid70,139,79,160,49,67,216,134,8,18,75,23,92,64,8,24,11,26,11,28,13,66,13,13,11,1,5,23,71,80,37,5,38,3,2,5,26,34,9,12,10,3,18,9,9,4,23,49,7,5,9,34,0,0,4,0,2,0,3,1,0,0
sid71,2,1,5,0,2,4,8,0,1,0,0,5,4,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,4,2,0,0,1,0,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sid72,1,1,1,1,3,7,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,1,1,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sid73,179,111,191,45,111,230,158,4,15,225,34,90,49,8,40,28,50,74,41,14,48,12,66,36,14,14,20,69,47,21,24,32,7,2,9,41,45,12,0,13,7,17,22,21,6,9,23,14,8,13,10,1,1,14,3,1,0,3,0,0,0
sid74,58,34,71,10,40,136,67,8,11,49,15,76,47,0,16,9,13,1,28,8,42,12,24,15,3,8,4,47,43,5,16,9,2,1,2,9,16,2,0,17,12,2,5,5,1,12,11,1,1,8,15,0,0,4,4,2,0,0,0,0,0
sid75,81,48,110,13,51,112,86,7,21,67,14,82,59,2,21,14,32,11,22,5,36,16,23,28,3,12,8,21,43,15,9,12,8,6,2,11,17,2,2,14,8,9,10,10,7,13,12,5,1,13,11,0,0,1,1,5,0,6,0,0,0
sid76,31,15,27,13,10,39,16,0,4,6,0,17,13,0,2,2,4,0,4,0,9,4,0,12,4,6,3,13,15,1,0,14,2,0,1,14,4,1,0,2,1,1,0,0,0,3,6,0,0,6,0,0,0,1,2,0,0,1,0,0,0
sid77,102,69,175,53,89,165,122,9,27,70,41,160,101,9,18,11,36,2,59,6,25,11,23,73,5,54,6,35,37,27,3,15,13,1,1,21,32,15,1,9,46,6,19,19,11,22,17,10,1,11,12,0,0,3,4,1,45,8,0,0,0
sid78,1,1,4,2,0,0,1,0,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sid79,97,65,114,32,52,149,113,6,16,39,22,75,63,1,20,11,24,9,12,4,67,23,0,32,6,22,12,35,65,14,54,13,2,0,2,6,23,5,7,15,3,5,10,10,4,19,39,0,0,4,34,0,0,0,5,3,1,7,0,0,0
sid80,266,159,411,105,192,461,259,24,50,206,52,315,209,31,47,33,60,32,104,24,95,24,40,93,26,51,34,119,145,40,40,63,14,67,29,83,48,56,16,49,40,28,10,10,17,24,65,17,21,57,26,0,0,18,9,2,2,14,0,0,0
sid81,151,84,160,40,66,147,138,11,26,99,19,115,75,30,26,17,29,10,40,6,31,5,11,41,12,12,12,46,31,19,31,43,17,9,28,23,34,23,14,19,15,15,7,7,9,9,15,3,12,12,7,0,0,6,4,1,0,1,1,0,0
sid82,109,45,109,34,50,201,100,3,26,58,10,113,57,7,30,9,29,12,55,13,58,13,18,55,4,39,20,80,72,10,20,37,0,6,2,11,16,2,3,3,34,6,4,4,0,14,19,3,25,4,20,0,0,7,2,13,1,2,0,0,0
sid83,25,16,26,4,13,37,23,2,2,29,5,20,10,0,6,5,10,0,10,1,3,1,19,1,0,1,3,13,12,2,7,3,0,33,4,9,2,1,0,0,3,1,2,2,0,1,5,0,1,3,1,0,0,0,0,0,3,1,1,0,0
sid84,54,28,70,25,36,74,42,1,12,32,6,50,41,1,11,6,20,6,9,0,32,4,5,14,3,6,4,25,22,15,10,17,2,2,3,3,10,0,4,6,4,4,1,1,3,1,5,3,0,3,5,0,0,1,2,3,1,9,0,0,0
sid85,193,121,220,53,116,274,155,13,26,152,31,147,95,6,33,23,42,61,52,24,72,32,26,59,14,26,24,79,81,35,22,41,16,4,12,64,27,22,4,15,9,11,19,19,10,12,31,7,4,29,26,0,0,8,6,4,1,6,0,0,0
sid86,44,19,38,7,25,87,40,1,4,18,4,39,21,0,14,9,16,1,18,2,14,6,7,19,3,10,3,24,31,4,6,11,6,0,4,7,7,1,3,2,7,2,0,0,1,5,11,1,2,4,6,0,0,9,0,0,0,1,1,0,0
sid87,23,12,37,7,14,33,36,3,6,32,4,13,9,0,6,5,5,3,4,1,3,0,11,11,1,2,5,9,10,1,3,5,8,0,9,4,2,0,0,2,1,2,2,2,2,3,8,3,3,1,1,0,0,2,0,0,0,0,0,0,0
sid88,67,37,81,18,56,114,75,10,13,51,25,53,27,6,13,12,12,1,25,6,24,5,11,13,6,5,7,28,28,9,11,17,1,1,8,23,20,5,4,4,6,12,4,4,0,2,7,1,7,5,9,0,0,6,5,1,0,0,0,0,0
sid89,11,6,12,1,8,21,15,0,3,9,1,10,0,2,3,2,3,1,10,2,9,1,0,11,3,4,1,4,9,2,0,2,4,1,3,4,3,1,1,2,4,6,0,0,0,2,3,0,0,1,2,0,0,3,0,0,0,0,0,0,0
sid90,39,29,55,5,47,92,56,5,9,26,13,29,27,24,6,5,7,5,2,0,35,6,10,33,0,21,9,14,32,16,11,4,3,0,9,13,13,13,0,4,0,2,12,12,2,4,2,0,0,5,26,0,0,0,2,9,2,4,0,0,0
sid91,33,20,44,7,43,97,37,1,8,22,2,25,20,2,5,1,6,1,5,2,33,6,0,25,5,8,14,28,31,1,5,9,0,3,1,3,17,1,1,1,2,20,0,0,1,15,11,2,0,5,5,0,0,1,1,12,0,1,0,0,0
sid92,41,30,49,11,36,79,31,4,7,20,10,48,34,4,3,2,8,6,14,2,24,7,1,30,4,15,9,17,27,4,0,8,8,0,1,13,6,4,2,6,3,7,2,2,1,8,10,0,4,6,9,0,0,3,2,3,2,4,0,0,0
sid93,105,63,109,33,84,186,94,5,9,57,15,83,43,4,15,6,14,1,40,13,54,26,15,53,13,32,13,47,51,13,17,29,12,4,4,27,37,6,3,7,13,12,8,8,3,15,17,9,8,14,17,0,0,7,4,0,0,1,1,0,0
sid94,18,13,15,1,17,44,27,0,1,14,0,6,4,1,3,0,4,0,2,0,4,4,7,7,0,0,2,10,17,2,4,2,7,0,0,0,9,1,0,1,0,0,1,1,3,0,13,2,0,3,0,0,0,1,1,0,0,0,0,0,0
sid95,97,51,110,32,53,138,90,7,13,103,17,97,64,1,18,7,23,26,31,25,62,13,32,48,9,29,12,33,52,12,12,29,0,17,1,12,24,8,1,3,1,26,12,4,1,5,22,2,31,10,19,8,0,3,4,10,0,4,0,8,0
sid96,39,32,41,5,45,94,46,2,15,42,5,26,3,5,0,0,0,10,23,1,47,27,22,48,12,34,14,29,20,4,15,7,4,12,17,5,3,22,0,7,17,4,1,1,0,19,8,3,10,4,12,0,0,4,0,0,0,0,0,0,0
sid97,90,79,115,14,132,179,94,4,26,49,13,91,75,3,5,3,33,0,16,3,70,31,16,38,5,26,15,30,30,19,7,6,7,3,8,17,35,7,0,19,8,14,1,1,1,13,15,10,1,17,25,0,0,2,16,0,0,18,0,0,0
sid98,66,41,81,19,41,110,72,7,14,55,8,54,45,0,16,9,14,25,8,5,42,12,8,23,4,17,8,26,44,12,4,13,0,2,3,5,9,4,3,11,1,9,10,10,3,21,16,1,1,6,18,0,0,2,3,2,0,1,0,0,0
sid99,8,4,7,2,2,15,8,0,0,3,0,4,3,0,0,0,1,0,1,0,9,3,0,10,1,8,1,4,9,1,0,4,1,0,0,0,0,0,0,1,1,4,0,0,1,14,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0
sid100,85,63,56,11,30,109,52,1,11,64,5,38,22,0,8,4,12,11,16,1,14,5,17,21,2,10,19,46,29,1,10,17,8,2,10,55,7,2,1,7,10,1,4,1,1,11,12,4,2,3,8,3,3,0,1,1,0,1,1,0,0
sid101,226,129,276,67,147,312,206,20,35,160,44,165,100,64,56,39,58,12,65,13,65,22,63,65,14,34,17,79,82,42,32,44,15,3,12,33,53,19,5,27,24,21,9,8,9,5,27,20,14,25,19,1,1,18,9,4,0,3,0,0,0
sid102,86,50,90,24,70,150,88,6,7,37,7,53,34,4,22,10,20,3,18,6,38,14,25,42,6,27,11,35,46,7,1,20,9,0,3,12,20,5,2,7,2,3,3,3,3,6,31,1,0,18,19,0,0,7,2,2,0,2,1,0,0
sid103,180,92,258,71,135,283,151,7,29,135,25,217,139,16,40,24,45,13,78,18,58,17,19,98,55,33,16,66,75,33,21,50,2,6,2,54,42,39,4,30,27,22,11,11,13,19,23,16,4,14,17,0,0,18,9,8,0,1,0,0,0
sid104,53,32,55,11,46,182,54,6,8,30,12,32,22,2,12,6,8,1,10,1,83,16,0,12,5,5,6,44,93,9,14,11,2,0,1,27,14,7,6,5,5,7,1,1,1,6,13,2,1,4,59,0,0,3,0,0,0,2,0,0,0
sid105,121,70,131,30,42,111,133,3,27,65,16,82,75,41,34,19,32,14,7,1,19,7,7,20,3,5,7,36,40,22,18,19,9,0,5,6,35,9,3,15,0,4,13,13,10,6,18,4,0,6,6,0,0,2,11,5,0,7,0,0,0
sid106,101,64,156,36,55,137,99,6,18,49,22,49,37,13,23,18,24,5,12,0,26,11,1,52,9,31,15,40,26,8,14,17,11,21,12,29,25,45,1,17,3,6,9,9,10,9,3,13,0,19,9,0,0,5,3,1,1,0,1,0,0
sid107,47,30,73,15,37,74,42,4,7,32,13,38,35,2,9,4,15,5,3,2,65,16,4,33,0,33,9,23,18,10,17,9,0,0,2,13,8,9,0,8,0,5,6,6,3,7,8,0,1,3,41,0,0,1,0,0,0,5,0,0,0
sid108,78,48,93,20,65,143,97,8,11,72,16,80,65,7,16,13,24,1,15,5,50,18,32,20,4,6,6,41,40,12,21,15,10,1,14,22,17,3,3,7,4,5,12,12,4,13,22,6,2,7,26,0,0,3,1,0,0,3,0,0,0
