,verb,present,cogmech,insight,time,relativ,funct,negate,quant,social,certain,affect,posemo,money,auxverb,future,discrep,humans,negemo,sad,percept,feel,family,bio,health,body,incl,motion,space,tentat,home,past,ingest,relig,number,achieve,adverb,work,friend,cause,anger,hear,pronoun,ipron,excl,leisure,preps,conj,death,inhib,see,ppron,i,anx,nonfl,sexual,swear,filler,assent,you,they
sid1597,199,124,250,69,132,317,205,12,30,112,30,206,139,6,47,27,63,15,66,12,102,31,26,67,15,32,25,69,124,41,19,32,20,13,17,34,59,20,14,16,16,22,17,17,10,43,25,16,2,18,43,0,0,21,12,1,0,15,1,0,0
sid1598,21,15,21,5,8,21,10,2,0,18,3,5,3,0,3,0,3,2,2,0,21,16,12,15,0,15,7,9,3,1,1,3,0,0,0,0,1,0,0,1,0,4,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
sid1599,284,167,353,86,251,550,287,23,61,152,53,286,172,25,39,23,60,14,114,28,174,51,11,138,25,57,33,152,149,36,43,84,50,8,31,72,74,25,11,28,24,32,12,12,14,20,56,18,7,53,63,0,0,27,8,8,1,12,1,0,0
sid1600,23,13,21,5,14,30,21,0,4,20,0,8,8,9,7,2,6,4,0,0,3,0,6,9,0,7,1,7,9,1,1,6,2,0,6,2,5,3,0,3,0,1,0,0,0,12,0,1,6,3,1,0,0,0,0,0,0,0,0,0,0
sid1601,100,56,114,30,63,171,113,9,29,68,15,102,67,4,17,12,22,20,35,15,38,10,11,28,6,16,21,54,56,8,9,27,5,2,6,31,25,18,1,12,8,10,6,6,5,14,26,1,3,6,18,0,0,5,4,2,0,5,1,0,0
sid1602,17,17,25,4,22,53,20,1,4,12,8,15,15,5,0,0,3,3,0,0,10,0,0,29,3,17,2,7,25,3,4,0,9,0,6,8,2,0,0,2,0,0,2,2,0,3,5,1,0,4,8,0,0,0,0,0,0,1,0,0,0
sid1603,37,24,50,12,18,53,44,3,4,21,7,32,19,1,10,6,9,2,13,3,19,5,1,7,2,4,11,15,22,3,1,4,1,0,7,9,9,4,3,6,3,6,3,3,2,2,10,0,0,1,8,0,0,2,4,0,0,2,0,0,0
sid1604,52,39,45,9,27,71,49,9,5,27,3,48,36,3,6,4,9,0,12,4,28,11,7,20,3,13,10,33,12,2,5,8,4,4,11,15,14,5,0,8,5,1,3,2,2,5,4,2,1,3,15,1,1,2,6,0,1,1,1,0,0
sid1605,31,20,32,3,33,71,15,1,3,39,2,27,20,2,2,1,2,2,7,3,7,1,9,11,2,6,8,24,11,0,4,9,0,7,1,5,2,2,0,1,0,2,1,1,1,0,6,0,17,7,4,0,0,4,0,3,0,0,0,0,0
sid1606,28,16,19,4,21,62,19,1,0,34,1,9,3,1,3,0,3,18,6,3,8,3,9,18,0,5,4,17,23,0,3,9,13,0,0,0,10,0,0,5,2,2,1,1,0,5,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0
sid1607,24,17,22,5,7,18,19,0,1,16,1,10,10,1,6,1,1,13,0,0,5,0,0,4,0,1,3,5,6,7,7,4,3,0,3,2,3,0,0,2,0,2,3,3,1,0,3,1,0,3,3,0,0,0,2,0,0,0,0,0,0
sid1608,67,30,81,18,41,90,75,6,13,53,9,51,42,21,19,13,20,8,9,2,27,11,10,20,2,4,7,21,28,17,6,18,14,1,6,14,15,10,3,4,1,5,7,7,6,7,13,2,5,3,12,0,0,2,4,0,0,1,0,0,0
sid1609,9,4,13,5,1,13,6,0,2,6,2,13,8,1,2,1,2,0,5,1,0,0,0,0,0,0,1,5,6,2,0,3,0,4,0,1,2,2,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sid1610,14,9,12,3,10,27,14,0,3,11,3,10,9,2,4,2,4,2,1,0,3,2,4,10,0,0,3,8,9,2,2,1,10,0,1,0,2,0,2,0,1,1,2,2,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
sid1611,10,5,2,0,4,13,6,0,1,3,0,2,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,7,2,1,3,5,0,0,2,2,2,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sid1612,375,206,446,91,171,426,376,26,74,147,67,423,285,11,90,64,124,8,135,39,129,43,9,92,21,46,37,115,137,62,23,80,13,2,32,135,93,20,1,38,47,20,31,29,19,29,49,16,18,40,64,2,2,34,12,12,0,14,2,0,0
sid1613,53,35,25,3,18,53,36,2,3,46,1,40,26,1,3,1,2,0,14,0,16,1,32,19,2,15,6,20,15,2,3,16,2,1,4,3,1,0,0,10,3,5,6,2,1,23,17,5,10,2,10,4,0,0,0,0,0,0,0,4,0
sid1614,28,15,48,11,40,112,37,3,3,41,7,38,30,2,3,1,3,14,8,1,37,9,1,15,6,1,1,25,45,7,4,11,7,0,5,11,6,3,1,7,1,5,5,5,1,5,14,2,2,7,19,0,0,1,0,1,0,0,0,0,0
sid1615,24,18,16,7,12,20,9,0,3,24,2,20,17,1,2,0,2,0,3,2,9,0,7,17,1,0,1,7,1,1,0,5,5,1,2,7,0,0,1,2,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0
sid1616,31,8,27,4,12,24,28,5,3,21,7,34,25,1,12,11,2,2,9,2,16,7,12,8,1,3,0,8,4,4,6,11,4,2,0,0,7,0,2,1,2,3,3,3,2,1,2,2,0,7,6,0,0,2,1,0,0,0,2,0,0
sid1617,55,36,39,13,25,54,24,0,2,24,2,16,12,2,9,5,10,6,3,2,10,0,3,5,0,2,7,20,8,5,12,12,3,2,4,3,5,4,0,5,0,2,0,0,0,7,3,2,0,1,8,0,0,1,0,0,0,1,0,0,0
sid1618,105,69,120,36,78,197,107,10,20,100,23,75,50,1,17,12,23,35,25,4,42,16,22,30,4,16,10,40,79,19,16,21,9,2,16,47,21,8,0,8,4,6,14,14,3,11,15,2,1,5,20,0,0,7,4,1,0,1,0,0,0
sid1619,89,54,114,34,32,123,72,4,16,56,11,75,52,9,10,5,15,1,23,9,43,12,6,20,0,15,8,43,49,30,1,26,5,2,5,11,11,5,5,8,9,22,9,9,7,3,17,3,1,5,7,0,0,4,2,0,0,3,1,0,0
sid1620,69,43,77,24,55,111,51,3,9,35,4,56,29,1,13,5,13,5,26,7,20,3,1,14,3,8,5,22,35,9,7,14,3,9,1,12,14,5,2,8,6,11,2,2,4,3,12,3,1,12,6,0,0,9,1,0,0,1,0,0,0
sid1621,150,95,139,37,98,231,107,9,13,203,14,142,84,14,19,13,37,43,57,18,114,42,96,72,8,52,22,73,69,18,26,37,10,10,9,5,31,3,3,9,19,15,8,8,6,15,22,4,3,13,49,0,0,10,1,3,1,13,0,0,0
sid1622,38,19,59,13,30,76,49,5,5,10,14,24,19,4,12,9,11,2,5,0,34,25,1,13,2,3,3,8,36,11,0,8,8,0,1,5,12,2,0,4,1,1,3,3,3,6,11,6,0,4,7,0,0,0,1,0,0,1,1,0,0
sid1623,9,6,7,3,6,18,8,0,0,1,0,5,4,0,2,1,1,0,1,1,3,3,0,0,0,0,2,9,3,0,0,1,0,0,0,3,1,1,0,2,0,0,1,1,0,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
sid1624,31,15,30,10,30,67,32,1,8,23,4,12,6,1,6,3,7,12,6,3,7,0,2,11,2,5,3,14,22,4,8,10,4,16,1,5,3,5,2,3,0,2,4,4,1,3,10,1,4,1,3,0,0,1,0,0,0,0,1,0,0
sid1625,72,39,74,24,33,121,48,3,5,61,8,97,51,5,12,8,13,13,46,9,62,25,13,47,8,23,9,38,49,4,22,21,12,2,5,33,9,4,1,6,14,10,1,1,0,17,14,2,4,7,26,0,0,1,0,4,0,1,3,0,0
sid1626,132,69,158,33,82,229,134,12,14,98,24,96,63,15,27,20,23,13,32,17,44,15,31,64,7,36,18,59,85,14,17,37,22,4,19,57,36,5,4,14,5,19,6,6,4,12,21,11,4,12,12,0,0,11,5,0,0,2,0,0,0
sid1627,13,4,19,5,16,34,14,2,0,11,3,20,16,2,4,3,6,1,2,1,15,6,8,7,0,6,1,5,14,2,5,5,0,2,0,1,2,1,0,1,0,2,2,2,3,0,5,0,1,1,6,0,0,1,2,1,1,1,0,0,0
sid1628,10,8,18,3,15,28,13,0,5,12,0,12,9,2,1,1,4,6,3,2,7,1,3,14,0,0,2,2,11,2,6,1,14,0,1,0,3,1,0,0,0,3,1,1,0,12,2,2,0,6,0,0,0,1,0,0,0,0,0,0,0
sid1629,25,24,34,6,21,72,16,0,6,26,5,4,4,0,0,0,0,7,0,0,12,3,3,24,3,5,20,15,36,2,28,1,14,0,0,0,7,2,0,0,0,1,2,2,0,17,2,2,0,0,8,0,0,0,0,2,1,0,1,0,0
sid1630,80,40,103,27,63,148,99,8,12,45,19,66,23,1,25,21,27,8,43,8,27,11,15,27,11,7,12,53,35,6,0,15,9,3,2,25,27,11,1,12,13,7,4,4,2,19,26,4,9,8,13,0,0,8,1,0,0,5,0,0,0
sid1631,52,38,64,20,17,32,36,2,3,53,8,46,39,8,12,4,23,7,7,2,7,2,23,9,2,6,6,9,8,0,13,9,1,13,0,19,8,3,0,8,1,3,10,9,1,2,2,0,0,4,2,1,1,0,4,0,0,3,0,0,0
sid1632,6,6,4,1,1,3,1,0,0,4,0,4,1,0,0,0,1,0,3,0,1,1,0,2,0,2,1,1,1,0,0,0,0,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sid1633,36,21,47,12,28,77,42,1,5,37,8,29,16,0,7,6,7,9,13,5,31,6,0,17,3,10,9,21,26,4,1,9,4,0,7,7,13,0,13,6,6,5,2,2,3,2,7,0,8,3,25,0,0,1,2,0,0,1,0,0,0
sid1634,16,13,18,2,9,36,16,0,0,12,1,9,3,0,3,1,2,4,6,1,6,2,0,4,1,3,5,10,15,2,6,1,0,0,2,5,6,2,2,3,1,0,0,0,0,6,6,2,1,1,4,0,0,1,1,0,1,0,0,0,0
sid1635,49,33,57,20,27,67,42,1,15,43,2,35,23,15,6,2,5,21,12,3,27,15,4,23,0,21,5,22,18,6,4,12,2,3,4,15,8,1,1,13,7,3,4,4,0,4,6,1,1,6,11,0,0,0,0,0,1,1,0,0,0
sid1636,50,32,59,20,28,79,42,1,13,69,8,33,20,3,9,5,7,15,13,11,15,4,25,24,4,8,7,21,28,4,2,10,9,25,2,3,9,2,1,8,2,4,2,2,5,6,3,8,3,0,7,0,0,0,1,3,0,0,0,0,0
sid1637,48,22,45,22,35,83,32,1,4,36,2,41,18,0,7,5,7,0,23,3,19,6,17,14,3,4,8,27,20,4,22,19,6,0,5,12,7,2,0,1,5,5,2,2,0,2,7,0,12,1,6,0,0,2,0,1,0,0,0,0,0
sid1638,24,12,29,6,11,42,24,1,2,6,1,18,12,0,4,3,3,1,6,1,17,9,1,26,3,19,6,13,17,5,12,8,4,0,6,4,8,0,0,3,2,1,0,0,1,4,3,2,4,5,9,0,0,3,2,1,1,0,0,0,0
sid1639,33,16,33,9,24,63,21,1,2,27,3,47,34,4,6,6,2,6,13,7,23,10,2,21,5,14,5,20,21,3,3,11,1,20,4,14,2,3,2,1,3,8,3,1,0,4,4,0,1,8,2,2,0,2,0,1,0,1,0,2,0
sid1640,106,58,102,21,51,178,104,6,24,72,20,94,64,8,23,12,28,32,30,15,60,14,7,74,3,70,11,59,70,17,25,25,0,39,2,12,23,13,1,7,3,11,12,4,2,42,19,3,10,8,33,8,0,8,9,1,0,3,0,8,0
sid1641,100,45,114,15,64,167,117,9,21,72,31,79,64,5,23,10,27,22,15,7,78,16,11,16,5,10,11,34,71,20,6,32,0,58,4,16,32,7,0,4,1,43,13,12,5,18,19,6,2,10,16,1,1,5,3,1,0,6,0,0,0
sid1642,83,53,98,21,41,134,65,2,14,81,10,36,24,11,13,7,19,7,12,4,35,6,28,20,4,5,12,55,34,5,29,17,11,4,7,10,18,7,4,22,2,11,3,3,5,16,11,4,0,5,17,0,0,3,3,0,0,1,1,0,0
sid1643,76,44,108,29,62,140,84,5,15,47,16,95,60,6,13,11,23,2,35,8,32,10,5,33,5,23,8,36,46,8,9,19,4,0,9,39,23,13,2,13,22,10,6,6,2,5,15,7,3,12,7,0,0,1,4,2,1,8,0,0,0
sid1644,10,6,13,5,6,18,14,1,1,6,1,13,10,0,3,1,3,0,3,0,2,1,0,10,0,7,2,3,8,0,0,1,5,1,0,3,7,1,1,1,1,0,0,0,0,0,4,0,0,1,1,0,0,0,3,0,0,0,0,0,0
sid1645,19,10,21,4,15,28,10,0,3,11,1,13,9,1,2,2,3,1,4,1,13,4,2,17,5,7,4,5,8,1,3,7,4,6,0,3,3,7,1,4,1,3,0,0,1,2,4,1,0,0,4,0,0,2,2,3,1,0,0,0,0
sid1646,0,0,5,2,2,3,0,0,0,4,2,4,1,0,0,0,2,0,3,1,3,0,4,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
