,X1,X2,Nation,language_family
1151,-4.890472,-7.163466,Welsh,Celtic
1152,13.255469,-5.8303876,Portuguese,Italic
1153,4.3152494,1.0107325,Greek,Hellenic
1154,0.99179214,-29.886023,Norwegian,Germanic
1155,-19.23515,8.559266,North_American_Native,Native_American
1156,7.737624,-12.343741,French,Italic
1157,-11.7801285,14.831208,Portuguese,Italic
1158,2.9891582,-6.5469813,Greek,Hellenic
1159,7.9144835,-8.926179,French,Italic
1160,19.15695,21.256676,Japanese,East_Asia
1161,-35.33453,-1.7605617,Russian,Slavic
1162,7.177844,12.081219,Chinese,East_Asia
1163,-8.998664,12.7068815,Greek,Hellenic
1164,-17.50973,6.42165,Philippine,Austronesian
1165,-5.0385995,-2.872087,German,Germanic
1166,-23.986471,25.737225,North_American_Native,Native_American
1167,-1.5201935,-3.4514,French,Italic
1168,14.211214,36.47054,Celtic,Celtic
1169,-14.089005,8.115925,Philippine,Austronesian
1170,-28.11274,-7.495795,Italian,Italic
1171,34.952522,-3.2996788,Romanian,Italic
1172,-10.66901,-26.49924,Irish,Celtic
1173,11.452546,-36.211224,English,Germanic
1174,-13.372375,15.1661825,Greek,Hellenic
1175,-8.302863,-27.95113,English,Germanic
1176,-21.147995,15.310629,Indian,Hindustani
1177,20.764881,7.7197385,Japanese,East_Asia
1178,-0.25165,11.465599,Scottish,Celtic
1179,31.676477,26.894424,French,Italic
1180,1.9562234,-0.34596398,Chinese,East_Asia
1181,-27.610598,-26.955173,English,Germanic
1182,1.4750483,-0.5730289,North_American_Native,Native_American
1183,0.5413739,12.874044,Japanese,East_Asia
1184,22.79592,-30.065176,Polish,Slavic
1185,-17.303587,27.88738,North_American_Native,Native_American
1186,13.620382,-26.756979,Scottish,Celtic
1187,-14.928507,-12.549381,Chinese,East_Asia
1188,5.6347313,0.43057495,Greek,Hellenic
1189,-6.4215426,5.6603274,North_American_Native,Native_American
1190,10.660302,-23.782799,German,Germanic
1191,-12.665691,-22.39079,Japanese,East_Asia
1192,11.712526,17.383966,Arabic,Semitic
1193,25.769793,-8.28871,Swedish,Germanic
1194,-11.52395,30.33509,North_American_Native,Native_American
1195,13.332141,-11.210447,Indian,Hindustani
1196,-15.406075,16.259394,Greek,Hellenic
1197,28.397896,-14.830123,Ukrainian,Slavic
1198,-11.082396,29.445103,North_American_Native,Native_American
1199,2.475025,-13.394838,French,Italic
1200,-3.957282,-18.481176,North_American_Native,Native_American
1201,-1.0120909,-18.109604,Estonian,Uralic
1202,-12.506293,-8.013507,Italian,Italic
1203,3.2218971,-5.590865,Greek,Hellenic
1204,12.824493,-35.065056,Norwegian,Germanic
1205,-25.610312,-9.134413,Slavic,Slavic
1206,-22.794024,-35.199955,Hungarian,Urgic
1207,-10.694144,-2.2020135,Greek,Hellenic
1208,14.253454,-9.517166,German,Germanic
